#ID	Length	Dir	Exons	Position	GroupID	NIsoformInGroup	Explv
transcript:ENST00000479214	885	-	6	1:247108849-247171358	1	6	1.000000
transcript:ENST00000366504	862	-	6	1:247108851-247171301	1	6	1.000000
transcript:ENST00000491337	714	-	5	1:247108921-247171358	1	6	1.000000
transcript:ENST00000487338	826	-	6	1:247108977-247171395	1	6	1.000000
transcript:ENST00000498046	504	-	4	1:247108980-247171328	1	6	1.000000
transcript:ENST00000339986	3340	-	4	1:247148625-247171358	1	6	1.000000
transcript:ENST00000366654	1495	-	2	1:231154704-231175992	2	3	1.000000
transcript:ENST00000494111	1576	-	3	1:231154922-231162695	2	3	1.000000
transcript:ENST00000466258	983	-	2	1:231155164-231164478	2	3	1.000000
transcript:ENST00000271588	18208	+	107	1:185703683-186160081	3	6	1.000000
transcript:ENST00000367492	17861	+	106	1:185703683-186160085	3	6	1.000000
transcript:ENST00000485744	1884	+	13	1:185926201-185962569	3	6	1.000000
transcript:ENST00000493413	720	+	4	1:185932940-185947277	3	6	1.000000
transcript:ENST00000475585	389	+	3	1:186122958-186141250	3	6	1.000000
transcript:ENST00000414277	720	+	6	1:186140519-186158797	3	6	1.000000
transcript:ENST00000370321	1043	+	8	1:93297582-93307481	4	5	1.000000
transcript:ENST00000470843	694	+	6	1:93297621-93301911	4	5	1.000000
transcript:ENST00000315741	681	+	6	1:93297666-93303026	4	5	1.000000
transcript:ENST00000461952	1116	+	3	1:93298319-93301828	4	5	1.000000
transcript:ENST00000497519	1210	+	3	1:93302167-93307419	4	5	1.000000
transcript:ENST00000378536	5613	+	7	1:2160134-2241558	5	4	1.000000
transcript:ENST00000508416	252	+	2	1:2163918-2234477	5	4	1.000000
transcript:ENST00000478223	294	+	3	1:2179435-2234815	5	4	1.000000
transcript:ENST00000507179	539	+	2	1:2235085-2235807	5	4	1.000000
transcript:ENST00000392129	1946	-	7	1:165696032-165738139	6	7	1.000000
transcript:ENST00000367881	2224	-	7	1:165696032-165738417	6	7	1.000000
transcript:ENST00000580248	1735	-	9	1:165696543-165796992	6	7	1.000000
transcript:ENST00000464650	1100	-	7	1:165696775-165738113	6	7	1.000000
transcript:ENST00000476143	581	-	6	1:165697323-165738125	6	7	1.000000
transcript:ENST00000481278	752	-	6	1:165712406-165738074	6	7	1.000000
transcript:ENST00000465705	760	-	7	1:165712416-165738155	6	7	1.000000
transcript:ENST00000467023	298	+	3	1:164524821-164533252	7	22	1.000000
transcript:ENST00000485769	834	+	3	1:164528437-164529594	7	22	1.000000
transcript:ENST00000340699	734	+	4	1:164528644-164761975	7	22	1.000000
transcript:ENST00000420696	6636	+	9	1:164528872-164821068	7	22	1.000000
transcript:ENST00000498497	3101	+	3	1:164529060-164654202	7	22	1.000000
transcript:ENST00000401534	1044	+	7	1:164529060-164790820	7	22	1.000000
transcript:ENST00000559240	1020	+	7	1:164529060-164815913	7	22	1.000000
transcript:ENST00000367897	1459	+	8	1:164529060-164816192	7	22	1.000000
transcript:ENST00000540236	1263	+	9	1:164529060-164818639	7	22	1.000000
transcript:ENST00000605467	438	+	1	1:164529250-164529687	7	22	1.000000
transcript:ENST00000559578	630	+	4	1:164532042-164769120	7	22	1.000000
transcript:ENST00000560469	1674	+	8	1:164546021-164816338	7	22	1.000000
transcript:ENST00000496120	1538	+	8	1:164559587-164816338	7	22	1.000000
transcript:ENST00000468104	1818	+	9	1:164574430-164816308	7	22	1.000000
transcript:ENST00000560641	1804	+	9	1:164595243-164816338	7	22	1.000000
transcript:ENST00000474046	1864	+	5	1:164595273-164651720	7	22	1.000000
transcript:ENST00000482110	572	+	3	1:164600218-164769126	7	22	1.000000
transcript:ENST00000558796	366	+	3	1:164621133-164868533	7	22	1.000000
transcript:ENST00000558837	577	+	4	1:164742149-164776808	7	22	1.000000
transcript:ENST00000559560	454	+	3	1:164756880-164769033	7	22	1.000000
transcript:ENST00000540246	1459	+	7	1:164761729-164854300	7	22	1.000000
transcript:ENST00000465089	11321	+	3	1:164781965-164819594	7	22	1.000000
transcript:ENST00000368178	4448	-	7	1:157715523-157740100	8	6	1.000000
transcript:ENST00000361516	2579	-	12	1:157715523-157746912	8	6	1.000000
transcript:ENST00000368181	1669	-	8	1:157715525-157746922	8	6	1.000000
transcript:ENST00000392274	1407	-	9	1:157716511-157746909	8	6	1.000000
transcript:ENST00000469986	902	-	2	1:157736404-157737564	8	6	1.000000
transcript:ENST00000462774	1170	-	4	1:157739140-157746922	8	6	1.000000
transcript:ENST00000272203	7401	-	23	1:204187979-204329044	9	4	1.000000
transcript:ENST00000414478	5091	-	23	1:204190349-204329044	9	4	1.000000
transcript:ENST00000485632	312	-	2	1:204230466-204231228	9	4	1.000000
transcript:ENST00000564627	275	-	4	1:204243881-204346793	9	4	1.000000
transcript:ENST00000336798	6392	-	3	1:31342314-31351587	10	4	1.000000
transcript:ENST00000339394	1580	-	5	1:31345982-31381608	10	4	1.000000
transcript:ENST00000471567	589	-	3	1:31349614-31354276	10	4	1.000000
transcript:ENST00000487984	355	-	4	1:31351523-31353616	10	4	1.000000
transcript:ENST00000462952	591	-	2	1:161007421-161008097	11	7	1.000000
transcript:ENST00000318289	626	-	3	1:161007421-161008727	11	7	1.000000
transcript:ENST00000368023	574	-	4	1:161007421-161008740	11	7	1.000000
transcript:ENST00000368024	457	-	3	1:161007421-161008767	11	7	1.000000
