#ID	Length	Dir	Exons	Position	GroupID	NIsoformInGroup	Explv
transcript:ENST00000371956	2882	+	4	1:46972668-46979884	1	2	1.000000
transcript:ENST00000360032	2880	+	4	1:46972669-46979898	1	2	1.000000
transcript:ENST00000358951	7257	-	35	1:220321635-220445796	2	2	1.000000
transcript:ENST00000484658	515	-	6	1:220375618-220384719	2	2	1.000000
transcript:ENST00000308182	2390	-	19	1:26648350-26670443	3	4	1.000000
transcript:ENST00000527815	2523	-	19	1:26648350-26670576	3	4	1.000000
transcript:ENST00000429942	886	-	9	1:26658085-26665837	3	4	1.000000
transcript:ENST00000475866	1548	-	2	1:26671751-26680621	3	4	1.000000
transcript:ENST00000378531	1798	-	14	1:2252692-2323146	4	4	1.000000
transcript:ENST00000378529	1498	-	11	1:2286616-2323146	4	4	1.000000
transcript:ENST00000449373	626	-	5	1:2310430-2319776	4	4	1.000000
transcript:ENST00000494279	406	-	2	1:2319443-2321435	4	4	1.000000
transcript:ENST00000367028	1477	+	7	1:209859510-209908295	5	3	1.000000
transcript:ENST00000261465	1415	+	7	1:209859550-209908295	5	3	1.000000
transcript:ENST00000367027	1319	+	6	1:209878191-209908209	5	3	1.000000
transcript:ENST00000368016	3482	-	13	1:161016738-161039456	6	3	1.000000
transcript:ENST00000368013	4394	-	12	1:161016738-161039735	6	3	1.000000
transcript:ENST00000368015	3887	-	8	1:161016739-161039760	6	3	1.000000
transcript:ENST00000369406	2428	-	10	1:120290619-120311517	7	2	1.000000
transcript:ENST00000544913	1925	-	9	1:120291007-120311528	7	2	1.000000
transcript:ENST00000294413	1591	-	10	1:25688740-25747336	8	11	1.000000
transcript:ENST00000374352	1483	-	10	1:25688741-25737930	8	11	1.000000
transcript:ENST00000413854	1463	-	8	1:25688741-25747363	8	11	1.000000
transcript:ENST00000455194	1302	-	8	1:25688741-25747363	8	11	1.000000
transcript:ENST00000243186	1537	-	9	1:25688741-25747363	8	11	1.000000
transcript:ENST00000425135	1345	-	8	1:25688741-25747363	8	11	1.000000
transcript:ENST00000340849	1087	-	7	1:25688799-25747286	8	11	1.000000
transcript:ENST00000349320	1810	-	12	1:25688803-25756683	8	11	1.000000
transcript:ENST00000527747	456	-	4	1:25688850-25729193	8	11	1.000000
transcript:ENST00000346452	971	-	7	1:25688854-25747283	8	11	1.000000
transcript:ENST00000349438	1235	-	9	1:25688922-25747296	8	11	1.000000
transcript:ENST00000235310	1860	-	11	1:11734537-11751707	9	7	1.000000
transcript:ENST00000376692	1118	-	9	1:11734538-11741271	9	7	1.000000
transcript:ENST00000376672	1002	-	9	1:11734582-11751534	9	7	1.000000
transcript:ENST00000376669	864	-	9	1:11734735-11741175	9	7	1.000000
transcript:ENST00000376667	872	-	9	1:11734805-11751666	9	7	1.000000
transcript:ENST00000445656	678	-	6	1:11735713-11741168	9	7	1.000000
transcript:ENST00000456915	1032	-	6	1:11735714-11741188	9	7	1.000000
transcript:ENST00000369697	7396	-	6	1:112313284-112525418	10	3	1.000000
transcript:ENST00000315987	2716	-	8	1:112318431-112531777	10	3	1.000000
transcript:ENST00000302127	2659	-	7	1:112318431-112531777	10	3	1.000000
transcript:ENST00000539888	1848	+	15	1:179262925-179322942	11	5	1.000000
transcript:ENST00000535686	1941	+	14	1:179262932-179322997	11	5	1.000000
transcript:ENST00000540564	2104	+	15	1:179262932-179323138	11	5	1.000000
transcript:ENST00000367619	6835	+	16	1:179262937-179327815	11	5	1.000000
transcript:ENST00000426956	870	+	7	1:179263455-179310445	11	5	1.000000
transcript:ENST00000448907	1951	+	7	1:50513686-50667540	12	7	1.000000
transcript:ENST00000371827	3775	+	7	1:50569582-50669442	12	7	1.000000
transcript:ENST00000357083	1415	+	7	1:50571964-50667071	12	7	1.000000
transcript:ENST00000371824	3966	+	7	1:50574605-50669458	12	7	1.000000
transcript:ENST00000371823	1591	+	7	1:50574638-50667074	12	7	1.000000
transcript:ENST00000371821	3349	+	7	1:50575298-50668726	12	7	1.000000
transcript:ENST00000371819	2467	+	7	1:50575378-50667966	12	7	1.000000
transcript:ENST00000408952	2059	-	10	1:1321862-1333684	13	4	1.000000
transcript:ENST00000400809	2305	-	11	1:1321875-1334692	13	4	1.000000
transcript:ENST00000408918	1186	-	6	1:1327668-1334697	13	4	1.000000
transcript:ENST00000497013	548	-	3	1:1330817-1334336	13	4	1.000000
transcript:ENST00000289825	2389	+	15	1:20617412-20664527	14	6	1.000000
transcript:ENST00000375083	3247	+	19	1:20617412-20675766	14	6	1.000000
transcript:ENST00000375079	3859	+	22	1:20617412-20680756	14	6	1.000000
transcript:ENST00000289815	4397	+	21	1:20617412-20681387	14	6	1.000000
transcript:ENST00000530722	541	+	3	1:20629574-20639435	14	6	1.000000
